frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,ip.proto,frame.len,tcp.flags
1759430523.984970000,44.228.249.3,192.168.110.128,1721,48608,,,6,60,0x0014
1759430523.984983000,44.228.249.3,192.168.110.128,1862,48608,,,6,60,0x0014
1759430523.998863000,44.228.249.3,192.168.110.128,1328,48610,,,6,60,0x0014
1759430524.012663000,44.228.249.3,192.168.110.128,4001,48608,,,6,60,0x0014
1759430524.027259000,44.228.249.3,192.168.110.128,1875,48608,,,6,60,0x0014
1759430524.041378000,44.228.249.3,192.168.110.128,8701,48608,,,6,60,0x0014
1759430524.055456000,44.228.249.3,192.168.110.128,35500,48608,,,6,60,0x0014
1759430524.069884000,44.228.249.3,192.168.110.128,1152,48608,,,6,60,0x0014
1759430524.069889000,44.228.249.3,192.168.110.128,3071,48608,,,6,60,0x0014
1759430524.098254000,44.228.249.3,192.168.110.128,9998,48608,,,6,60,0x0014
1759430524.114742000,44.228.249.3,192.168.110.128,20031,48608,,,6,60,0x0014
1759430524.114754000,44.228.249.3,192.168.110.128,1085,48608,,,6,60,0x0014
1759430524.129399000,44.228.249.3,192.168.110.128,9917,48608,,,6,60,0x0014
1759430524.139749000,44.228.249.3,192.168.110.128,2525,48608,,,6,60,0x0014
1759430524.153381000,44.228.249.3,192.168.110.128,5678,48608,,,6,60,0x0014
1759430524.153425000,44.228.249.3,192.168.110.128,6788,48608,,,6,60,0x0014
1759430524.170281000,44.228.249.3,192.168.110.128,3372,48608,,,6,60,0x0014
1759430524.184548000,44.228.249.3,192.168.110.128,7443,48608,,,6,60,0x0014
1759430524.198763000,44.228.249.3,192.168.110.128,1022,48608,,,6,60,0x0014
1759430524.198775000,44.228.249.3,192.168.110.128,1053,48608,,,6,60,0x0014
1759430524.212471000,44.228.249.3,192.168.110.128,667,48608,,,6,60,0x0014
1759430524.226883000,44.228.249.3,192.168.110.128,1086,48608,,,6,60,0x0014
1759430524.240908000,44.228.249.3,192.168.110.128,49157,48608,,,6,60,0x0014
1759430524.240913000,44.228.249.3,192.168.110.128,9944,48608,,,6,60,0x0014
1759430524.255910000,44.228.249.3,192.168.110.128,5922,48608,,,6,60,0x0014
1759430524.269048000,44.228.249.3,192.168.110.128,6112,48608,,,6,60,0x0014
1759430524.282479000,44.228.249.3,192.168.110.128,5730,48608,,,6,60,0x0014
1759430524.296893000,44.228.249.3,192.168.110.128,1169,48608,,,6,60,0x0014
1759430524.311130000,44.228.249.3,192.168.110.128,259,48608,,,6,60,0x0014
1759430524.311144000,44.228.249.3,192.168.110.128,2222,48608,,,6,60,0x0014
1759430524.311145000,44.228.249.3,192.168.110.128,9500,48608,,,6,60,0x0014
1759430524.340010000,44.228.249.3,192.168.110.128,26214,48608,,,6,60,0x0014
1759430524.340017000,44.228.249.3,192.168.110.128,2191,48608,,,6,60,0x0014
1759430524.354648000,44.228.249.3,192.168.110.128,9011,48608,,,6,60,0x0014
1759430524.354660000,44.228.249.3,192.168.110.128,1998,48608,,,6,60,0x0014
1759430524.380992000,44.228.249.3,192.168.110.128,27353,48608,,,6,60,0x0014
1759430524.381006000,44.228.249.3,192.168.110.128,406,48608,,,6,60,0x0014
1759430524.395603000,44.228.249.3,192.168.110.128,9081,48608,,,6,60,0x0014
1759430524.401110000,44.228.249.3,192.168.110.128,1461,48608,,,6,60,0x0014
1759430524.415026000,44.228.249.3,192.168.110.128,17877,48608,,,6,60,0x0014
1759430524.433393000,44.228.249.3,192.168.110.128,6389,48608,,,6,60,0x0014
1759430524.447841000,44.228.249.3,192.168.110.128,8000,48608,,,6,60,0x0014
1759430524.447855000,44.228.249.3,192.168.110.128,4111,48608,,,6,60,0x0014
1759430524.462546000,44.228.249.3,192.168.110.128,7741,48608,,,6,60,0x0014
1759430524.478143000,44.228.249.3,192.168.110.128,5080,48608,,,6,60,0x0014
1759430524.478149000,44.228.249.3,192.168.110.128,1272,48608,,,6,60,0x0014
1759430524.492271000,44.228.249.3,192.168.110.128,3493,48608,,,6,60,0x0014
